Album Title,Artist Name,Genre,Date,Distribution,Rating,Music Count
서른이지만 열일곱입니다 OST Part 6,미교,드라마음악,2018.09.11,로엔엔터테인먼트,6.7,2
새어나와,아프론(Afron),"알앤비/어반,  인디뮤직",2018.09.11,유니버설뮤직,4.8,2
페일데이 (Dearest Eve),BOY.D(보이.디 of 9와 숫자들),인디뮤직,2018.09.11,소니뮤직,4.7,1
Engine / Voice,HNGIN,"일렉트로니카,  인디뮤직",2018.09.10,포크라노스,5,2
New Edition 05,015B,발라드,2018.09.10,(주)지니뮤직,6.5,2
V,박재범,알앤비/어반,2018.09.10,Stone Music Entertainment,7.4,2
Thumbs Up!,펜타곤,랩/힙합,2018.09.10,로엔엔터테인먼트,6.8,5
Trip,릴러말즈(Leellamarz),랩/힙합,2018.09.10,Stone Music Entertainment,4.8,1
카테고리,소보,포크,2018.09.11,비손과기혼,7.7,1
산책을 할까,달에닿아,인디뮤직,2018.09.11,(주)엔에이치엔벅스,7,2
GROZA,투탁 핀셔,랩/힙합,2018.09.11,(주)루미넌트엔터테인먼트,2.7,1
Fine,레드인이어(RED IN-EAR),"인디뮤직,  락",2018.09.11,워너뮤직코리아,2.7,1
러블리 호러블리 OST Part 4,은하,드라마음악,2018.09.11,로엔엔터테인먼트,8.9,2
노래,김동률,발라드,2018.09.11,로엔엔터테인먼트,8.6,1
리모델링 (REMODELING),크라잉 넛,"인디뮤직,  락",2018.09.11,(주)미러볼뮤직,6.5,2
조용훈과 가까운 사이,조용훈과 가까운 사이,포크,2018.09.11,(주)킹핀엔터테인먼트,5,2
Melody,박수진,"알앤비/어반,  재즈힙합",2018.09.11,(주)오감엔터테인먼트,6.7,1
ㄱ,란준,"인디뮤직,  포크",2018.09.11,(주)뮤직앤뉴,5,5
한심한 생각,교정,인디뮤직,2018.09.11,(주)지니뮤직,0,6
TMI,캐스티(CAS.T),알앤비/어반,2018.09.11,(주)티에스앤엔터테인먼트,4,1
RESET,추억,"인디뮤직,  포크",2018.09.11,비스킷 사운드,5.5,1
ㅂ,cott(콧),알앤비/어반,2018.09.11,(주)지니뮤직,5.9,2
여름비,비트크림(BeatCream),"발라드,  인디뮤직",2018.09.11,먼데이브런치,3.3,1
라이프 OST Part 6,정승환,드라마음악,2018.09.11,(주)지니뮤직,8.8,1
매일매일,HAE(해),랩/힙합,2018.09.11,아토엔터테인먼트,0,1
Love Is All I Know,HASE(헤이스),락,2018.09.11,(주)광수미디어,0,1
빗속에,고로(GO-RO),랩/힙합,2018.09.11,(주)오감엔터테인먼트,3,2
백일의 낭군님 OST Part 1,거미,드라마음악,2018.09.11,Stone Music Entertainment,8.2,2
고백할게,에피타이저(appetizer),발라드,2018.09.11,워너뮤직코리아,5.8,2
기적처럼,안정우,발라드,2018.09.11,(주)오감엔터테인먼트,5.9,2
Paradise,비젤리(Bee Jelly),"일렉트로니카,  인디뮤직",2018.09.11,(주)미러볼뮤직,0,1
쉼표 Part 2,로만티코(Romantico),"발라드,  인디뮤직,  포크",2018.09.11,퍼플파인엔터테인먼트,5.8,1
그 노래,허숙진 (Heo Suk-Jin),클래시컬크로스오버,2018.09.11,(주)위프엔터테인먼트,4.3,4
[생명보험사회공헌재단] 다 들어줄개 Part 1,도끼(DOK2),랩/힙합,2018.09.11,Stone Music Entertainment,5.4,1
Color of night,뮤지(Muzie),알앤비/어반,2018.09.11,Stone Music Entertainment,7.1,5
선긋는거야,보란,알앤비/어반,2018.09.12,(주)소리바다,5.6,1
너에게로 (With 진관성),아날로그,"인디뮤직,  팝락",2018.09.12,민사운드스토리엔터테인먼트,7.5,2
난 니가 좋다,장기섭,"알앤비/어반,  발라드",2018.09.12,(주)뮤직앤뉴,5,4
내 곁에,잘혜준,"발라드,  인디뮤직",2018.09.12,(주)미러볼뮤직,2.5,1
Wander,트위드,락,2018.09.12,(주)필뮤직,3.8,3
UNITY,서사무엘(Samuel Seo),알앤비/어반,2018.09.12,Stone Music Entertainment,7.6,8
친애하는 판사님께 OST Part 6,하늘해,드라마음악,2018.09.12,(주)블렌딩,6.6,2
오늘의 탐정 OST Part 2,차지혜,드라마음악,2018.09.12,Stone Music Entertainment,6,2
달이 참 예쁘다고,이승윤,"인디뮤직,  락",2018.09.11,(주)코부코,7.1,5
백채 2nd single,백채 프로젝트(100chae Project),락,2018.09.12,(주)루미넌트엔터테인먼트,1,2
헤어지는 중,펀치(Punch),알앤비/어반,2018.09.12,로엔엔터테인먼트,8.1,2
MANGO,효민,알앤비/어반,2018.09.12,로엔엔터테인먼트,5.8,3
REST AREA,seizetheday (시즈더데이),랩/힙합,2018.09.12,Stone Music Entertainment,4.5,2
Rooftop S,홍가,랩/힙합,2018.09.12,(주)루미넌트엔터테인먼트,0,1
BABY U,HOYA(호야),알앤비/어반,2018.09.12,(주)지니뮤직,6.9,1
청춘의 Colors #2,최종묵,"인디뮤직,  락",2018.09.12,(주)미러볼뮤직,0,1
우주선,패러렐(Parallel),랩/힙합,2018.09.12,(주)루미넌트엔터테인먼트,5.6,1
롱디 (Long Distance),후추스(Hoochus),"인디뮤직,  락",2018.09.12,비스킷 사운드,3.2,1
20과 30,사탕수수,"인디뮤직,  포크",2018.09.12,먼데이브런치,2.5,1
사생결단로맨스 OST Part 9,학선,드라마음악,2018.09.12,로엔엔터테인먼트,6.3,2
내가 지금껏,임현정,포크,2018.09.12,(주)지니뮤직,6,2
돌아서지마요,더 라임,발라드,2018.09.12,(주)지니뮤직,6.4,2
가을이 오면,천소아,발라드,2018.09.12,(주)티에스앤엔터테인먼트,2.9,3
Zolla,fla4free,"랩/힙합,  알앤비/어반",2018.09.12,워너뮤직코리아,6.3,1
"좋아해, 너를",숲의 계절,뉴에이지,2018.09.12,워너뮤직코리아,4.5,5
So Nice,소울리스트,"인디뮤직,  포크",2018.09.12,(주)오감엔터테인먼트,6,2
그냥 같이 (Just You And Me),HOW(하우),"인디뮤직,  포크",2018.09.13,(주)티에스앤엔터테인먼트,0,2
Don't Leave,디캐시,알앤비/어반,2018.09.13,(주)소리바다,6.3,1
Hold me now,짙은(Zitten),인디뮤직,2018.09.12,(주)엔에이치엔벅스,6.8,2
사랑숨,탐구생활,"인디뮤직,  포크",2018.09.12,포크라노스,5.6,1
내가 사랑한 모든 것들은 나를 눈물짓게 할 테니까,모브닝(MOVNING),"인디뮤직,  락",2018.09.12,포크라노스,9,1
빠르게 뛰어,영 스위시(Young Swish),랩/힙합,2018.09.12,(주)오감엔터테인먼트,5.6,1
Fall In Love,타임브릿지,"알앤비/어반,  인디뮤직",2018.09.12,(주)오감엔터테인먼트,5.6,1
CYAN,Cyan Kim(김시안),랩/힙합,2018.09.12,아토엔터테인먼트,5,7
You And I (Feat. Safira. K),매시브 디토(Massive Ditto),일렉트로니카,2018.09.12,(주)필뮤직,0,1
나란놈이란 - The First Project,그렉(Greg),알앤비/어반,2018.09.12,이프로엔터테인먼트,9,1
소리,성정,알앤비/어반,2018.09.13,Stone Music Entertainment,6,1
대화가 필요해,가제트(Gadjet),알앤비/어반,2018.09.13,(주)오감엔터테인먼트,4.8,1
Purple Rain,맥랩(Mc Rap),랩/힙합,2018.09.13,(주)루미넌트엔터테인먼트,0,3
혼자만 사랑했던거니,체리핑크,발라드,2018.09.13,아토엔터테인먼트,6.3,2
이별하러 가는 길,임한별,발라드,2018.09.13,로엔엔터테인먼트,9.3,2
REAL LIVE NANJANG Vol.9 (난장 라이브),마리슈,"인디뮤직,  락",2018.09.13,(주)코부코,5,2
우리 둘이,406호 프로젝트,"알앤비/어반,  인디뮤직,  락",2018.09.13,퍼플파인엔터테인먼트,6.8,1
내 이름,조항조,트로트,2018.09.13,(주)다날엔터테인먼트,7.5,1
Wave,Colde (콜드),알앤비/어반,2018.09.13,소니뮤직,8.7,8
Miracle,"듀에토(백인태, 유슬기)",클래시컬크로스오버,2018.09.13,로엔엔터테인먼트,9.3,6
Love My Baby,리코(Rico),"알앤비/어반,  인디뮤직",2018.09.13,포크라노스,1.8,2
낮부터 취해서,클랑(KLANG),발라드,2018.09.13,(주)지니뮤직,8,2
Water,윌라(WILLA),랩/힙합,2018.09.13,(주)디지탈레코드,0,1
Venom,디제이 웨건(DJ Wegun),랩/힙합,2018.09.13,Stone Music Entertainment,7.2,1
후니네밴드,후니네밴드,"락,  포크",2018.09.13,(주)킹핀엔터테인먼트,2,4
V,HUS(허밍어반스테레오),"일렉트로니카,  알앤비/어반,  댄스",2018.09.13,(주)지니뮤직,7.1,15
Candle,Leevisa,"일렉트로니카,  인디뮤직",2018.09.13,포크라노스,0,4
Rainbow,메이다니(MAYDONI),알앤비/어반,2018.09.13,(주)엔에이치엔벅스,4.9,2
슬리퍼스 인 베니스 OST,Various Artists,영화음악,2018.09.13,(주)엔에이치엔벅스,6.5,7
아는 와이프 OST Part 5,담소네공방,드라마음악,2018.09.13,Stone Music Entertainment,7.1,2
이상하게 설레,최보통,인디뮤직,2018.09.13,(주)아이리버,6.7,12
밤이 피네,Lof.T(로프티),"일렉트로니카,  인디뮤직",2018.09.13,(주)미러볼뮤직,5,1
아침,로맨틱 모먼트(Romantic Moment),"인디뮤직,  포크",2018.09.13,비스킷 사운드,1.3,1
CROSSROAD,정동하,발라드,2018.09.13,(주)뮤직앤뉴,7.5,11
끄트머리,구공이오공(90250),발라드,2018.09.13,(주)광수미디어,1,2
마성의 기쁨 OST Part 1,이윤진,드라마음악,2018.09.13,로엔엔터테인먼트,8,2
Drive Shower Repackage,Drive Shower,"락,  인디",2018.09.13,Stone Music Entertainment,4.2,15
Bad Bad,반디(Vandi),일렉트로니카,2018.09.13,워너뮤직코리아,3.3,1
Silence,결(KYUL),"알앤비/어반,  인디뮤직",2018.09.14,포크라노스,4,1
안경 (blur),로즈(Rose),알앤비/어반,2018.09.14,(주)지니뮤직,5.8,2
한 잔만 더 하면,박보람,알앤비/어반,2018.09.14,Stone Music Entertainment,6.1,2
Wanna Know,EB,"댄스,  인디뮤직",2018.09.14,(주)엘리야엔터테인먼트,6.4,1
털어놔,TSLW,"알앤비/어반,  인디뮤직",2018.09.13,워너뮤직코리아,3.6,1
Age,라이프 앤 타임,락,2018.09.13,(주)지니뮤직,8.1,10
이 비가 (Until the rain stops),노래하는 코트,발라드,2018.09.13,(주)인터파크,6.8,2
I GOT YOUR BACK,디나인(D-9INE),랩/힙합,2018.09.13,(주)루미넌트엔터테인먼트,3.3,1
내일도 맑음 OST Part 20,리디아(Lydia),드라마음악,2018.09.13,(주)다날엔터테인먼트,7,2
열애중 (답가),하은(라코스테남),발라드,2018.09.14,(주)지니뮤직,8.8,2
니맘내맘,스텔라장(Stella Jang),포크,2018.09.14,(주)디지탈레코드,7.9,1
브리즈,키지,"댄스,  클럽/댄스",2018.09.14,(주)뮤즈플랫폼,0,1
잠이 안 와,소란(SORAN),락,2018.09.14,로엔엔터테인먼트,8.1,2
MMS,DAY5FF,랩/힙합,2018.09.14,(주)엔에이치엔벅스,4.7,5
Chair man,"DAP(YUP, HERSHEY, GINZA)",랩/힙합,2018.09.14,(주)뮤직앤뉴,0,2
Neo Decadence,VOID,락,2018.09.14,Stone Music Entertainment,4,6
OHIYO (오하요),Soup(숲),"댄스,  알앤비/어반",2018.09.14,(주)오감엔터테인먼트,7.6,1
우리 마지막 날,PS영준,랩/힙합,2018.09.14,(주)다날엔터테인먼트,2.4,2
올댓뮤직 X 인디스땅스 2018 Vol.2 (All That Music X Indiestance 2018 Vol.2),Various Artists,"인디뮤직,  락",2018.09.14,(주)미러볼뮤직,5,10
징검다리,가능동밴드,포크,2018.09.14,미디어스코프(주),1.5,1
Period,재달(JaeDal),랩/힙합,2018.09.14,Stone Music Entertainment,8.1,5
연애의 기록,정흠밴드(Jungheum Band),"인디뮤직,  락",2018.09.14,(주)뮤직앤뉴,7,5
Starlight,김욱,"알앤비/어반,  인디뮤직",2018.09.14,먼데이브런치,6.7,1
N/A,주영,알앤비/어반,2018.09.14,로엔엔터테인먼트,7.5,2
(EP.1) 항해,Moon Bong,"발라드,  인디뮤직",2018.09.14,퍼플파인엔터테인먼트,8.8,3
Paint,포이 뮤지엄(POY Muzeum),랩/힙합,2018.09.14,(주)루미넌트엔터테인먼트,3.6,1
29,굿나잇파트라슈,"인디뮤직,  락",2018.09.14,비스킷 사운드,7.1,4
Romance,최병욱(Jeremy Choi),현대음악,2018.09.14,(주)필뮤직,4,2
HiFi,퍼프(Puff),랩/힙합,2018.09.14,(주)티에스앤엔터테인먼트,0,1
나이나이에,자그마치,"인디뮤직,  포크,  락",2018.09.14,(주)미러볼뮤직,6.1,2
싫던 날,신주현,"발라드,  인디뮤직",2018.09.14,워너뮤직코리아,5.5,1
그 이름 하나만,주대건,발라드,2018.09.14,아토엔터테인먼트,6.2,6
사실은,마이큐(My Q),"인디뮤직,  알앤비/어반",2018.09.14,유니버설뮤직,3,1
아픈 손가락,커피소년,"발라드,  인디뮤직",2018.09.14,(주)엔에이치엔벅스,7.7,2
가지마요,윤건,발라드,2018.09.14,(주)지니뮤직,7.9,2
끝까지 사랑 OST Part 13,DKSOUL,드라마음악,2018.09.15,(주)다날엔터테인먼트,8.8,2
tvN 300 x NC 피버뮤직 - EP3,Various Artists,알앤비/어반,2018.09.15,Stone Music Entertainment,5.6,2
Ours,써드(third),인디뮤직,2018.09.15,(주)오감엔터테인먼트,4,1
불후의 명곡 - 전설을 노래하다 (대한민국 ROCK의 자존심 YB),Various Artists,락,2018.09.15,로엔엔터테인먼트,6.3,6
Flex Forever,The Quiett,랩/힙합,2018.09.15,Stone Music Entertainment,8.4,1
보이스2 (OCN 토일드라마) OST - Part 4,myunDo,드라마음악,2018.09.15,(주)엔에이치엔벅스,4.8,4
죄 많은 소녀 (Original Motion Picture Soundtrack),선우정아,영화음악,2018.09.15,(주)지니뮤직,8.4,8
SF,위아더나잇(We Are The Night),"일렉트로니카,  인디뮤직",2018.09.15,포크라노스,6.6,1
A-TEEN Part 4,모트(Motte),드라마음악,2018.09.16,로엔엔터테인먼트,8,2
We Young,찬열,랩/힙합,2018.09.14,(주)아이리버,7.8,3
우리집에 왜왔니,김민지,"인디뮤직,  포크",2018.09.15,(주)미러볼뮤직,6.6,2
숨바꼭질 OST Part 1,베이지(Beige),드라마음악,2018.09.15,(주)블렌딩,8.5,2
너를 사랑하는 이유,연애세포,발라드,2018.09.15,워너뮤직코리아,4.8,2
불면증,딘딘(DinDin),랩/힙합,2018.09.15,로엔엔터테인먼트,6.7,1
Aquarium,WABLE(와블),"알앤비/어반,  인디뮤직",2018.09.15,(주)지니뮤직,6.7,2
내 아이디는 강남미인 OST Part 9,여은(멜로디데이),드라마음악,2018.09.15,워너뮤직코리아,4.8,2
OFF ROOM,Dakshood(닥스후드),랩/힙합,2018.09.15,로엔엔터테인먼트,6.4,7
Love Is Love,20 (트웬티),알앤비/어반,2018.09.16,(주)오감엔터테인먼트,4,1
PRIDE,IK BROTHERS (아이케이 브라더즈),댄스,2018.09.16,(주)지니뮤직,3.8,2
Intersection,오월(Owol),"알앤비/어반,  랩/힙합",2018.09.16,워너뮤직코리아,6.5,3
당신의 별이 사라지던 밤,폴의 작업실,뉴에이지,2018.09.16,워너뮤직코리아,2.3,8
로맨스,김사월,"인디뮤직,  포크",2018.09.16,포크라노스,8.3,12
BUCKET LIST,박현진,랩/힙합,2018.09.16,로엔엔터테인먼트,7.2,1
미스터 션샤인 OST Part 13,세정(구구단),"드라마음악,  발라드",2018.09.16,Stone Music Entertainment,9.7,1
이타카로 가는 길 Part 10,소유(SOYOU),발라드,2018.09.16,Stone Music Entertainment,4.2,3
나도 엄마야 OST Part 4,구윤회,드라마음악,2018.09.17,(주)블렌딩,5.9,2
Bucket list,에이솔(Asol),랩/힙합,2018.09.17,(주)엔에이치엔벅스,6.4,1
Sweet Illusion,Luna Pirates(루나파이럿츠),"일렉트로니카,  인디뮤직",2018.09.17,(주)미러볼뮤직,3.8,1
체크메이트 O.S.T,커먼 그라운드(Common Ground),드라마음악,2018.09.17,Stone Music Entertainment,6.8,2
복면가왕 169회,나영,댄스,2018.09.16,(주)블렌딩,5.7,1
HOLIDAY,밀리그램,"인디뮤직,  포크",2018.09.16,(주)미러볼뮤직,7.3,4
언제나,고나영,알앤비/어반,2018.09.16,(주)지니뮤직,6.1,2
끝까지 사랑 OST Part 14,조문근,드라마음악,2018.09.16,(주)다날엔터테인먼트,8.2,2
I’m Fine,가비엔제이,발라드,2018.09.16,로엔엔터테인먼트,7.6,4
우리 사랑하는데,우은미,발라드,2018.09.17,(주)티에스앤엔터테인먼트,5.6,3
"We’ve Lost, What Now?",웨터 (wetter),락,2018.09.17,Stone Music Entertainment,6.8,5
I'M GOOD,mNine,랩/힙합,2018.09.17,(주)엔에이치엔벅스,1.3,1
IGOHOLIC,PLT,랩/힙합,2018.09.17,(주)지니뮤직,7.6,1
Present : YOU,GOT7 (갓세븐),"댄스,  발라드,  알앤비/어반,  랩/힙합,  락",2018.09.17,(주)아이리버,8.3,16
내 아이디는 강남미인 OST,Various Artists,드라마음악,2018.09.17,워너뮤직코리아,6.7,23
서른이지만 열일곱입니다 OST Part 7,박재정,드라마음악,2018.09.17,로엔엔터테인먼트,9.3,2
너라는 계절이,진안,인디뮤직,2018.09.17,(주)오감엔터테인먼트,4.8,1
시간을 가져,강민혁,알앤비/어반,2018.09.17,(주)다날엔터테인먼트,2.5,1
너와 머물던,엔스(Nth),"인디뮤직,  락",2018.09.17,포크라노스,0,1
Stars Of You,엔분의일(1/N),"인디뮤직,  락",2018.09.17,(주)필뮤직,6.9,1
이쁜걸 어떡해,LOVEND,"인디뮤직,  락",2018.09.17,(주)코부코,2,2
new.MAKE20 #3,김범수,발라드,2018.09.17,Stone Music Entertainment,7.5,2
러블리 호러블리 OST Part 5,이창섭,드라마음악,2018.09.17,로엔엔터테인먼트,8.9,2
마음이 없는 사람에게,이소(e_so),"인디뮤직,  포크",2018.09.17,(주)미러볼뮤직,5.7,1
MOONRISE,요셉,알앤비/어반,2018.09.17,(주)지니뮤직,4.5,2
디깅클럽서울 Part 01,죠지,발라드,2018.09.17,YG PLUS,6.4,3
Red,오베,알앤비/어반,2018.09.17,(주)광수미디어,4,2
SLOW IT DOWN,Blostea,"인디뮤직,  포크",2018.09.17,(주)뮤직앤뉴,0,1
Best moment,노블레스,발라드,2018.09.17,(주)다날엔터테인먼트,6.5,4
Black Out,U-in(유인),알앤비/어반,2018.09.17,민사운드스토리엔터테인먼트,0,1
Clear Love,더 멜로디,댄스,2018.09.17,(주)티에스앤엔터테인먼트,0,1
별 (Feat.김종완 of 넬),빈첸(VINXEN),랩/힙합,2018.09.17,로엔엔터테인먼트,8.1,2
그래 또 눈물,황재완,발라드,2018.09.17,Stone Music Entertainment,4.6,3
Day Dream,SWANG,"알앤비/어반,  발라드",2018.09.17,보자기레이블&미디어,0,1
아이고,빌(BIL),랩/힙합,2018.09.17,(주)루미넌트엔터테인먼트,6.3,1
별이 되어줘,빨간의자,인디뮤직,2018.09.17,포크라노스,7,1
Summer Lit,BS X PePe,랩/힙합,2018.09.17,(주)소리바다,0,6
압구정로데오,ness(네스),랩/힙합,2018.09.18,(주)뮤직앤뉴,4.3,1
밤수성 Part.1,노르웨이 숲,인디뮤직,2018.09.18,(주)엔에이치엔벅스,6.4,1
웹툰 연놈 OST Part 1,케이시(Kassy),O.S.T,2018.09.18,로엔엔터테인먼트,9.8,2
맴매야,퍼플,댄스,2018.09.18,로엔엔터테인먼트,4.1,1
오늘 밤,헤이데이(HEYDAY),인디뮤직,2018.09.18,(주)지니뮤직,3.8,1
아프리카로,조준호,"인디뮤직,  포크",2018.09.18,비스킷 사운드,1.8,2
Prunus,Hayoon,알앤비/어반,2018.09.18,(주)쿠킹뮤직,4.2,2
그냥 그래,허니애플,발라드,2018.09.17,워너뮤직코리아,4.8,2
손도끼,마이티파인(MightyFine),랩/힙합,2018.09.17,아토엔터테인먼트,0,1
‘Love is’,이재선,랩/힙합,2018.09.18,민사운드스토리엔터테인먼트,0,3
가을 타나 봐,바이브,발라드,2018.09.18,(주)지니뮤직,8.4,2
우리 그만하자,로이킴,발라드,2018.09.18,Stone Music Entertainment,7.1,2
서른이지만 열일곱입니다 OST,Various Artists,드라마음악,2018.09.18,로엔엔터테인먼트,7,19
Echae en Route,이채언루트,인디뮤직,2018.09.18,포크라노스,7.7,7
Mood,마민즈(maminz),랩/힙합,2018.09.18,(주)뮤즈플랫폼,2.2,9
Be Be Be,허니비(HoneyBe),랩/힙합,2018.09.18,(주)루미넌트엔터테인먼트,4.4,2
소나기,임재용,"발라드,  인디뮤직",2018.09.18,퍼플파인엔터테인먼트,4.2,1
최고의 순간,노브레인,"인디뮤직,  락",2018.09.18,(주)미러볼뮤직,6,1
GOLDEN ERA,엘리펀디(Elefun.D),"랩/힙합,  인디뮤직",2018.09.18,(주)코부코,4.4,8
영원히,정수양,"트로트,  어덜트 컨템포러리",2018.09.18,(사)한국음반산업협회,0,6
Rooftop,JUNIK,알앤비/어반,2018.09.18,워너뮤직코리아,4.8,4
Still In Love,장진영,발라드,2018.09.18,(주)소리바다,0,2
HIDDEN GGUL VOICE #1,김기범,발라드,2018.09.18,(주)티에스앤엔터테인먼트,5,2
가위 바위 보,재호(XEHO),알앤비/어반,2018.09.18,(주)다날엔터테인먼트,1.7,2
마음에게,지으니어스,포크,2018.09.18,아토엔터테인먼트,6.7,1
glow forever connected version,The Quiett,랩/힙합,2018.09.18,Stone Music Entertainment,7.7,2
협상 OST,황상준,영화음악,2018.09.19,Stone Music Entertainment,4.2,19
그러니까,화유,발라드,2018.09.18,아토엔터테인먼트,2,2
The Big Dipper,루첸트(LUCENTE),랩/힙합,2018.09.18,워너뮤직코리아,6.8,6
지워,가영,알앤비/어반,2018.09.18,(주)오감엔터테인먼트,0.3,1
취준진담 OST (SBS 스페셜),슈퍼싸운드,기타,2018.09.18,(주)블렌딩,2.5,8
끝을 아는 시작,UNI.T,댄스,2018.09.18,로엔엔터테인먼트,8.4,5
ICE CREAM,Planet Black,랩/힙합,2018.09.18,Stone Music Entertainment,2,1
SmileySmile,스마일리스마일(SmileySmile),일렉트로니카,2018.09.18,소니뮤직,5.6,1
High Tension,바이닐(V!nyl),알앤비/어반,2018.09.18,(주)오감엔터테인먼트,3.8,2
조금씩 이별하자,묵(MOOK),발라드,2018.09.18,(주)지니뮤직,2.8,1
Hey You,정욱,발라드,2018.09.19,(주)오감엔터테인먼트,3.7,2
Heal Project,해니(HAENY),알앤비/어반,2018.09.19,(주)케미컬레코드,6.7,1
Diary,도아(DOA),발라드,2018.09.19,(주)킹핀엔터테인먼트,3.8,2
하루도 그대를 사랑하지 않은 적이 없었다,임창정,"발라드,  댄스",2018.09.19,(주)인터파크,8.5,14
Daydream,르 메리무스(LE_MeryMos),"발라드,  인디뮤직",2018.09.19,(주)티에스앤엔터테인먼트,6.8,9
오늘의 탐정 OST Part 3,이보람(씨야),드라마음악,2018.09.19,Stone Music Entertainment,7.7,2
Feels.,헤이트(hate.),"알앤비/어반,  인디뮤직",2018.09.19,퍼플파인엔터테인먼트,0,1
Sick Boy...This Feeling,The Chainsmokers,일렉트로니카,2018.09.19,소니뮤직,7.2,7
이야기 Part 3 - 비오는 수요일,한승희,발라드,2018.09.19,(주)우조엔터테인먼트,6.7,2
DISCO (I Don't Mind),맥거핀(macguffin),"인디뮤직,  락",2018.09.19,(주)지니뮤직,7.2,1
별일이 아니라고,김영근,발라드,2018.09.19,Stone Music Entertainment,6.9,1
생일을 핑계로,귀동,발라드,2018.09.19,(주)광수미디어,4.6,1
한밤의 여행,선명(先命),포크,2018.09.19,(주)소리바다,6.7,2
신호등,희삼이(heesami),"인디뮤직,  팝락",2018.09.19,(주)필뮤직,4.3,2
10분 뒤 나와,몽글리(Monggly),"인디뮤직,  락",2018.09.19,(주)미러볼뮤직,6.8,2
느려서,Haks,"발라드,  인디뮤직",2018.09.19,(주)코부코,3.3,1
아이야,6IXTY,락,2018.09.19,아토엔터테인먼트,4,1
WJ PLEASE?,우주소녀,댄스,2018.09.19,로엔엔터테인먼트,8.5,6
마성의 기쁨 OST Part 2,성담,드라마음악,2018.09.19,로엔엔터테인먼트,9,2
Hello September,로맨틱치즈(Romantic Cheese),뉴에이지,2018.09.19,워너뮤직코리아,0,5
MAKE ME DOWN,비비(BB),랩/힙합,2018.09.19,(주)뮤직앤뉴,5,1
