Member,Series,DataFrame
T,T,T
abs,abs,abs
add,add,add
add_prefix,add_prefix,add_prefix
add_suffix,add_suffix,add_suffix
agg,agg,agg
aggregate,aggregate,aggregate
align,align,align
all,all,all
any,any,any
append,append,append
apply,apply,apply
applymap,,applymap
argmax,argmax,
argmin,argmin,
argsort,argsort,
as_blocks,as_blocks,as_blocks
as_matrix,as_matrix,as_matrix
asfreq,asfreq,asfreq
asobject,asobject,
asof,asof,asof
assign,,assign
astype,astype,astype
at,at,at
at_time,at_time,at_time
autocorr,autocorr,
axes,axes,axes
base,base,
between,between,
between_time,between_time,between_time
bfill,bfill,bfill
blocks,blocks,blocks
bool,bool,bool
boxplot,,boxplot
cat,cat,
clip,clip,clip
clip_lower,clip_lower,clip_lower
clip_upper,clip_upper,clip_upper
columns,,columns
combine,combine,combine
combine_first,combine_first,combine_first
compound,compound,compound
compress,compress,
consolidate,consolidate,consolidate
convert_objects,convert_objects,convert_objects
copy,copy,copy
corr,corr,corr
corrwith,,corrwith
count,count,count
cov,cov,cov
cummax,cummax,cummax
cummin,cummin,cummin
cumprod,cumprod,cumprod
cumsum,cumsum,cumsum
data,data,
describe,describe,describe
diff,diff,diff
div,div,div
divide,divide,divide
dot,dot,dot
drop,drop,drop
drop_duplicates,drop_duplicates,drop_duplicates
dropna,dropna,dropna
dt,dt,
dtype,dtype,
dtypes,dtypes,dtypes
duplicated,duplicated,duplicated
empty,empty,empty
eq,eq,eq
equals,equals,equals
eval,,eval
ewm,ewm,ewm
expanding,expanding,expanding
factorize,factorize,
ffill,ffill,ffill
fillna,fillna,fillna
filter,filter,filter
first,first,first
first_valid_index,first_valid_index,first_valid_index
flags,flags,
floordiv,floordiv,floordiv
from_array,from_array,
from_csv,from_csv,from_csv
from_dict,,from_dict
from_items,,from_items
from_records,,from_records
ftype,ftype,
ftypes,ftypes,ftypes
ge,ge,ge
get,get,get
get_dtype_counts,get_dtype_counts,get_dtype_counts
get_ftype_counts,get_ftype_counts,get_ftype_counts
get_value,get_value,get_value
get_values,get_values,get_values
groupby,groupby,groupby
gt,gt,gt
hasnans,hasnans,
head,head,head
hist,hist,hist
iat,iat,iat
idxmax,idxmax,idxmax
idxmin,idxmin,idxmin
iloc,iloc,iloc
imag,imag,
index,index,index
infer_objects,infer_objects,infer_objects
info,,info
insert,,insert
interpolate,interpolate,interpolate
is_copy,is_copy,is_copy
is_monotonic,is_monotonic,
is_monotonic_decreasing,is_monotonic_decreasing,
is_monotonic_increasing,is_monotonic_increasing,
is_unique,is_unique,
isin,isin,isin
isna,isna,isna
isnull,isnull,isnull
item,item,items
items,items,iteritems
itemsize,itemsize,iterrows
iteritems,iteritems,itertuples
ix,ix,ix
join,,join
keys,keys,keys
kurt,kurt,kurt
kurtosis,kurtosis,kurtosis
last,last,last
last_valid_index,last_valid_index,last_valid_index
le,le,le
loc,loc,loc
lookup,,lookup
lt,lt,lt
mad,mad,mad
map,map,
mask,mask,mask
max,max,max
mean,mean,mean
median,median,median
melt,,melt
memory_usage,memory_usage,memory_usage
merge,,merge
min,min,min
mod,mod,mod
mode,mode,mode
mul,mul,mul
multiply,multiply,multiply
name,name,
nbytes,nbytes,
ndim,ndim,ndim
ne,ne,ne
nlargest,nlargest,nlargest
nonzero,nonzero,
notna,notna,notna
notnull,notnull,notnull
nsmallest,nsmallest,nsmallest
nunique,nunique,nunique
pct_change,pct_change,pct_change
pipe,pipe,pipe
pivot,,pivot
pivot_table,,pivot_table
plot,plot,plot
pop,pop,pop
pow,pow,pow
prod,prod,prod
product,product,product
ptp,ptp,
put,put,
quantile,quantile,quantile
query,,query
radd,radd,radd
rank,rank,rank
ravel,ravel,
rdiv,rdiv,rdiv
real,real,
reindex,reindex,reindex
reindex_axis,reindex_axis,reindex_axis
reindex_like,reindex_like,reindex_like
rename,rename,rename
rename_axis,rename_axis,rename_axis
reorder_levels,reorder_levels,reorder_levels
repeat,repeat,
replace,replace,replace
resample,resample,resample
reset_index,reset_index,reset_index
reshape,reshape,
rfloordiv,rfloordiv,rfloordiv
rmod,rmod,rmod
rmul,rmul,rmul
rolling,rolling,rolling
round,round,round
rpow,rpow,rpow
rsub,rsub,rsub
rtruediv,rtruediv,rtruediv
sample,sample,sample
searchsorted,searchsorted,
select,select,select
select_dtypes,,select_dtypes
sem,sem,sem
set_axis,set_axis,set_axis
set_index,,set_index
set_value,set_value,set_value
shape,shape,shape
shift,shift,shift
size,size,size
skew,skew,skew
slice_shift,slice_shift,slice_shift
sort_index,sort_index,sort_index
sort_values,sort_values,sort_values
sortlevel,sortlevel,sortlevel
squeeze,squeeze,squeeze
stack,,stack
std,std,std
style,,style
str,str,
strides,strides,
sub,sub,sub
subtract,subtract,subtract
sum,sum,sum
swapaxes,swapaxes,swapaxes
swaplevel,swaplevel,swaplevel
tail,tail,tail
take,take,take
to_clipboard,to_clipboard,to_clipboard
to_csv,to_csv,to_csv
to_dense,to_dense,to_dense
to_dict,to_dict,to_dict
to_excel,to_excel,to_excel
to_feather,,to_feather
to_frame,to_frame,
to_gbq,,to_gbq
to_hdf,to_hdf,to_hdf
to_html,,to_html
to_json,to_json,to_json
to_latex,to_latex,to_latex
to_msgpack,to_msgpack,to_msgpack
to_panel,,to_panel
to_parquet,,to_parquet
to_period,to_period,to_period
to_pickle,to_pickle,to_pickle
to_records,,to_records
to_sparse,to_sparse,to_sparse
to_sql,to_sql,to_sql
to_stata,,to_stata
to_string,to_string,to_string
to_timestamp,to_timestamp,to_timestamp
to_xarray,to_xarray,to_xarray
tolist,tolist,
transform,transform,transform
transpose,transpose,transpose
truediv,truediv,truediv
truncate,truncate,truncate
tshift,tshift,tshift
tz_convert,tz_convert,tz_convert
tz_localize,tz_localize,tz_localize
unique,unique,
unstack,unstack,unstack
update,update,update
valid,valid,
value_counts,value_counts,
values,values,values
var,var,var
view,view,
where,where,where
xs,xs,xs
